Applicant.ID,text
2,writer uloop blog volunteer
3,prep cook server market intern
6,project assistant
8,deli clerk server cashier food prep order taker
11,cashier
12,server rec leader program management intern
13,assistant offica assistant cashier
14,waitress host lifeguard
15,
18,barista cashier server receptionist
21,cashier
22,sandwich artist shift leader personal home
23,film editor waiter server waiter server
24,volunteer
26,cashier
27,event organizer farm intern lifeguard childrens program aid
30,barback expediter server
32,intern intern roundup newspaper
33,nanny softlines team trainer waitress host
34,server server host
37,boh server food runner
38,sales person phone receptionist
39,red cross certify lifeguard waiter
40,food server lead
41,
42,movie extras actors model want san francisco part time full time cast san francisco grand open new location entry level position bay inc san francisco drive partner uber san francisco retail associate chocolateer westfield ghirardelli chocolate san franciscostreet marketer courtesy clerk
44,pizza maker
45,technitian server server
48,waitress server
49,office clerk gas station cashier
50,housekeep intern front office intern claremont country club
51,retail sales intern
52,server waiter
54,host wash house depratment
56,quickly cashier kitchen
57,sales associate lot operator lot monitor activities assistant
63,part time server health intern assistant director
66,merchandizer
68,bakers assistant sales associate
69,assistant server barista seasonal make artist
71,courtesy clerk
73,cashier
74,bookseller legal clerical assistant
75,cashier cashier
76,
77,
78,impact team member
83,cashier
84,tutor host cashier
86,none
88,sales associate
89,healthcare specialist combat medic clerk helper
93,organizer helper
95,receptionist sales representative vendor
96,kitchen staff izakaya yuzuki san francisco server waraku san francisco server sakae sushi burlingamecashier receptionist cashiet waiter server
102,teachers assistant
103,sales associate waitress cashier
109,manager office assistant child care associate
110,waitress
111,cashier
113,sales representative
116,
117,waitress floor captain waitress
118,cashier
120,intern
122,greetor
124,cashier cashier
126,server
129,team captain toy associate
131,telephone banker shift manager hourly manager
133,crew supervisor
134,manager venetrian blind installer
135,security guard laborer
137,shop girl independent child care provider
138,
141,customer service food server festivals
143,director operations market
145,customer service
146,manager
147,server server receptionist
148,sales associate store clerk food clerk
149,host cashier food prep shift supervisor salesfloor
151,head lifeguard
153,valic financial advisor intern roseville aig corp roseville travel inventory associate wis international citrus heights travel inventory associate wis international citrus heights retail project merchandiser advantage sales market citrus heights technology sales specialist roseville server susumu japanese steak house roseville dockworker part time saia ltl freight san jose customer service rep zions bancorporation california bank trust fremont full charge bookkeeper accountemps redwood city aml compliance associate accountemps san francisco loan service manager accountemps san francisco loan service manager accountemps san francisco account receivable clerk accountemps redwood city loan closer entry level accountemps pleasanton inventory general accountant accountemps san jose travel inventory associate wis international citrus heights underwrite assistant accountemps san francisco jumpstart account career holiday season accountemps san francisco account manager sales sunnyvale call center representative part time alliance credit union san jose customer service representative accountemps concord financial analyst accountemps san jose customer service representative accountemps walnut creek start seek experience underwriter accountemps san francisco investment operations accountemps san francisco investment operations accountemps san franciscophotographer banker front desk agent operations supervisor server host barista customer service rep sales rep
154,cashier barista cashier
155,florist
157,multicultural immersion program intern graphic designer
161,team member employee
162,nanny
164,cashier cashier team member
166,host shift lead
169,
172,teacher assistant
174,receptionist
175,none none none
180,server
183,server busser host
184,
188,beauty advisor sales associate
191,
192,administrative assistant
193,none
194,teacher
196,none
198,phlebotomist
201,
208,host digital design intern
210,laboratory assistant
215,sales person
219,host
220,waiter food server cater
221,service shoe womens specialist attractions associate
222,digital strategist
223,data analytics researcher human technology evolution
227,customer service
229,
230,server
239,sales associate
240,
243,none
244,cashier sandwich maker
247,crew member
249,server busser food runner private event bar tender server
250,
251,
252,busser dishwasher
255,barista
256,cashier server server host receptionist book keeper customer service rep sales rep production area
257,host cashier door person
259,waitress
265,host server bartender
266,assistant
267,waitress
271,helper
274,supervisor
279,sales associate
280,server server
282,cashier
285,bookkeeper administrative assistant bookkeeper part time
287,store sales associate certify sales associate
290,gcic terminal operator
292,
297,server
301,bartender server bartender
302,bartender server
303,line cook
304,register dental assistant
306,cook line cook
307,busboy
309,bartender
313,server
314,technology associate
315,store keeper assistant
316,intern
317,host
320,truck driver
326,java developer
327,temporary worker
330,resident advisor
331,none none
340,caregiver
341,dishwasher prep cook
343,waitress bartended
355,school admin barista shift supervisor
361,host cashier
362,team member team member
365,intern
366,volunteer barback
370,social media research intern campus day leader
372,none
373,server
378,cashier server
384,server
391,server server
394,cook
397,student aide
400,none
401,server florist
404,senior supervisor
405,event advisor
406,server bartender mixologist
408,service clerk buser
421,esl instructor
437,guest bartender
438,server host barista customer service rep
441,server
448,event staff
452,bartender bartender
453,office assistant
460,student assistant
465,none
467,package handler team leader
469,dessert prep cook inside sales associate
470,teacher
471,bartender
476,write consultant
477,sales driver office clerk
480,secratary
482,sales
484,office assistant administrative clerk
492,deli line retail supervisor
493,server customer service
494,bartender
495,warehouseman sales associate
496,bartender
501,learn advocate
507,cashier drive thru attendant food prep dishwasher cook server host cashier
508,server bartender
510,server
511,crew
515,interim production manager asst foh manager bartender
518,assistant manager
519,server cashier
520,server
522,server
532,none
